Name,Sorting Name,Age Rating,Categories,Description,Developers,Publishers,Favorite,Hidden,Features,Game Id,Genres,Install size,Release Date,Added,Last Played,Date Modified,Recent Activity,Platforms,Play Count,Time Played,Sources,Series,Tags,Community Score,Critic Score,User Score,Id
Bright Memory: Infinite,,,,"<strong><h2 class=""bb_tag"">Story</h2></strong><br>In the year 2036, a strange phenomenon for which scientists can find no explanation has occurred in the skies around the world. The Supernatural Science Research Organization (SRO) has sent agents out to various regions to investigate this phenomenon. It is soon discovered that these strange occurrences are connected to an archaic mystery - an as-of-yet unknown history of two worlds, about to come to light...<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1178830/extras/1.gif?t=1734415707"" /><br><br><strong><h2 class=""bb_tag"">Gameplay</h2></strong><br><i>Bright Memory: Infinite</i> combines the FPS and action genres to deliver a high-octane experience. Mix and match available skills and abilities to unleash magnificient combos on your enemies. Your trusted sword allows you to slash through crowds of enemies and even repel their gunfire. The guns you come across in-game can be customized with a variety of ammunitions. Choose between incendiary bombs, sticky grenades, homing missiles, and more to suit your situation.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1178830/extras/2.gif?t=1734415707"" /><br><br><strong><h2 class=""bb_tag"">Development</h2></strong><br>Created by FYQD-Studio, Bright Memory: Infinite is the sequel to the popular Bright Memory. However, the sequel features an all-new world, along with newly created improved battle system and level design.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1178830/extras/3.gif?t=1734415707"" /><br><br><strong><h2 class=""bb_tag"">Developer Comment</h2></strong><br>For Bright Memory: Infinite, I wanted to focus on adding content to give players a more satisfying experience. As a result, development took three times as long as Bright Memory. This process allowed me to learn how to create a strong game while dealing with time and financial constraints. I spent a lot of time thinking of ways to maximize whatever technology and resources available to me in order to deliver an unforgettable experience through the game. As such, Bright Memory: Infinite represents the culmination of FYQD Studio's growth. Finally, I would like to express my gratitude to all my global partners and those who have provided technical support to me.",FYQD-Studio,PLAYISM,FALSE,FALSE,Single Player,1178830,"Adventure, Hack and slash/Beat 'em up, Indie, Shooter",,11/11/2021,17/06/2025 23:53,,17/06/2025 23:56,17/06/2025 23:53,,0,0,Steam,,,58,67,,bfec50f2-e6bf-4749-8e01-6a8743bbcfcd
Brothers - A Tale of Two Sons,,PEGI 16,,"Brothers is presented from a third-person view overlooking the two brothers. The brothers are moved individually by two thumbsticks on the controller. The controller triggers also cause the respective brother to interact with the game world, such as talking to a non-player character or grabbing onto a ledge or object.
<br>
<br>The older brother is the stronger of the two and can pull levers or boost his younger brother to higher spaces, while the younger one can pass between narrow bars. The player progresses by manipulating the two brothers at the same time to complete various puzzles, often requiring the player to manipulate both brothers to perform differing functions (such as one distracting a hostile non-player character while the other makes their way around).
<br>
<br>Should either brother fall from a great height or get injured, the game restarts at a recent checkpoint. All of the in-game dialogue is spoken in a fictional language, thus the story is conveyed through actions, gestures and expressions.",Starbreeze Studios,505 Games,FALSE,FALSE,"Co-Operative, Single Player",Tamarind,"Adventure, Indie, Puzzle",,07/08/2013,17/06/2025 23:53,,17/06/2025 23:58,17/06/2025 23:53,PC (Windows),0,0,Epic,,,81,83,,b29d0ff2-d3ef-47ed-83e5-b2d1c75aeb7e
Call of Duty Ghosts,,PEGI 16,,"Call of Duty: Ghosts takes place following a catastrophic event that changed the global balance of powers in the world. As a result, the United States is no longer recognized as a superpower. Ten years after the event, an unseen enemy emerges as a threat, but the remnants of US special forces from every branch came together to create an elite group of soldiers known as the ""Ghosts"", who are determined to eradicate all threats to protect the weak and the remains of America.","Infinity Ward, Neversoft Entertainment, Raven Software, Treyarch",Activision,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player",NPWR04874_00,Shooter,,05/11/2013,18/06/2025 00:07,07/07/2014 15:46,18/06/2025 00:08,18/06/2025 00:07,Sony PlayStation 3,0,0,PlayStation,Call of Duty,,65,74,,15d5389f-4569-44c1-aaad-6f25ab29f329
Call of Duty: Black Ops 4,Call of Duty: Black Ops 04,PEGI 18,,"Black Ops is back! Featuring gritty, grounded, fluid Multiplayer combat, the biggest Zombies offering ever with three full undead adventures at launch, and Blackout, where the universe of Black Ops comes to life in one massive battle royale experience featuring the largest map in Call of Duty history, signature Black Ops combat, characters, locations and weapons from the entire Black Ops series.",Treyarch,Activision,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player, Split Screen",VIPR,Shooter,,12/10/2018,17/06/2025 23:52,,17/06/2025 23:55,17/06/2025 23:52,PC (Windows),0,0,Battle.net,"Call of Duty, Call of Duty: Black Ops",,65,83,2,e0d6df26-dc02-4368-aebd-5d685419560c
Call of Duty: Black Ops Cold War,,PEGI 18,,"The iconic Black Ops series is back with Call of Duty: Black Ops Cold War - the direct sequel to the original and fan-favorite Call of Duty: Black Ops. Black Ops Cold War will drop fans into the depths of the Cold War’s volatile geopolitical battle of the early 1980s. Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe through iconic locales like East Berlin, Vietnam, Turkey, Soviet KGB headquarters and more.
<br>
<br>Beyond the Campaign, players will bring a Cold War arsenal of weapons and equipment into the next generation of Multiplayer and Zombies experiences. Welcome to the brink. Welcome to Call of Duty: Black Ops Cold War.",Treyarch,Activision,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player, Split Screen",ZEUS,Shooter,,13/11/2020,17/06/2025 23:52,,17/06/2025 23:54,17/06/2025 23:52,PC (Windows),0,0,Battle.net,"Call of Duty, Call of Duty: Black Ops",,73,77,2,65825eb3-b069-4a80-b994-585f067100f6
Call of Duty: Black Ops II,Call of Duty: Black Ops 02,PEGI 18,,"Rooted in near-future fiction, Call of Duty: Black Ops II propels players into a visual landscape in an epic single player campaign highlighted by branching storylines and non-linear missions. The game is a re-imagined multiplayer that introduces players to some of the most cutting-edge weaponry and equipment that 2025 will have to offer, and punctuated with an all-new Zombies experience running in the multiplayer engine.",Treyarch,Activision,TRUE,FALSE,"Multiplayer, Single Player",NPWR02059_00,Shooter,,18/11/2012,18/06/2025 00:07,15/06/2014 19:20,18/06/2025 00:08,18/06/2025 00:07,Sony PlayStation 3,0,0,PlayStation,"Call of Duty, Call of Duty: Black Ops",,80,83,4,3e85d984-4d9e-4ef4-9b90-2adcceb58e2a
Call of Duty: Modern Warfare,,PEGI 18,,"Prepare to go dark, Modern Warfare is back!
<br>
<br>The stakes have never been higher as players take on the role of lethal Tier One operators in a heart-racing saga that will affect the global balance of power. Call of Duty: Modern Warfare engulfs fans in an incredibly raw, gritty, provocative narrative that brings unrivaled intensity and shines a light on the changing nature of modern war.
<br>
<br>Players will be thrust into an immersive narrative spanning the entire game. Experience the ultimate online playground with classic multiplayer or squad-up and play cooperatively in a collection of elite operations, accessible to all skill levels.",Infinity Ward,Activision,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player, Split Screen",ODIN,Shooter,,25/10/2019,17/06/2025 23:52,,17/06/2025 23:58,17/06/2025 23:52,PC (Windows),0,0,Battle.net,"Call of Duty, Call of Duty: Modern Warfare",,80,80,3,4b93e2f1-7703-4e03-ba73-2392adee263e
Call of Duty: Modern Warfare II,Call of Duty: Modern Warfare 02,PEGI 18,,Call of Duty: Modern Warfare II drops players into an unprecedented global conflict that features the return of the iconic Operators of Task Force 141.,Infinity Ward,Activision,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player, Split Screen",AUKS,Shooter,1.14853E+11,28/10/2022,17/06/2025 23:52,,17/06/2025 23:56,17/06/2025 23:52,PC (Windows),0,0,Battle.net,"Call of Duty, Call of Duty: Modern Warfare",,73,80,3,44bb9d09-ae74-44bc-b61a-8c3bdc4f6be4
Carcassonne,,PEGI 3,,"The official adaptation of the famous board game Carcassonne! A modern classic tile-placement game based on the award-winning game in which the players draw and place a tile with a piece of southern French landscape on it. The player can then decide to place one of his followers, so-called Meeples.",Frima Studio,"Asmodee Digital, Twin Sails Interactive",FALSE,FALSE,"Multiplayer, Single Player",Thrush,"Card & Board Game, Puzzle, Strategy, Turn-based strategy (TBS)",,29/11/2017,17/06/2025 23:53,,17/06/2025 23:54,17/06/2025 23:53,PC (Windows),0,0,Epic,,,75,75,,53d76b21-c3ab-4f00-bc01-f97b304d01e2
Celeste,,PEGI 7,,"Help Madeline survive her inner demons on her journey to the top of Celeste Mountain, in this super-tight platformer from the creators of TowerFall. Brave hundreds of hand-crafted challenges, uncover devious secrets, and piece together the mystery of the mountain.",Extremely OK Games,Maddy Makes Games,FALSE,FALSE,Single Player,Salt,"Adventure, Indie, Platform",,25/01/2018,17/06/2025 23:53,,17/06/2025 23:54,17/06/2025 23:53,PC (Windows),0,0,Epic,Celeste,,87,91,,123e8bdc-8a32-4d33-94fd-c7089729db5e
Centipede Recharged,,PEGI 3,,"The original bug-blasting arcade game is back! Centipede: Recharged has been reimagined for modern gameplay, with vibrant visuals designed for modern screens, a 16:9 field of play, and an original soundtrack from award-winning video game composer Megan McDuffee. Aim for a high score in the old school arcade mode and earn bragging rights with your name at the top of the leaderboard. Or test your skills and rank on the boards in one of 30 intensely creative challenges, which twist the gameplay in new and exciting ways. A dozen new power-ups can give you an edge by introducing abilities like screen-clearing explosions, rail guns, and even slowing down time. Every mode and level is playable in local co-op mode with a friend.",Nickervision Studios,"Atari, Inc.",FALSE,FALSE,"Co-Operative, Multiplayer, Single Player",8727e9d0693542bda60769dc2ce33c20,"Arcade, Shooter",,29/09/2021,17/06/2025 23:53,,17/06/2025 23:55,17/06/2025 23:53,PC (Windows),0,0,Epic,,,,76,,6ac56b16-f77a-4a29-a34c-74317aa88202
Channel 4,Channel 04,,,,,,FALSE,FALSE,,CUSA00072_00,,,,18/06/2025 00:07,,18/06/2025 00:07,18/06/2025 00:07,Sony PlayStation 4,0,0,PlayStation,,,,,,a7e4e300-e5ee-4b37-a076-c4c0d86a113c
Cities Skylines,,PEGI 3,,"Cities: Skylines is a modern take on the classic city simulation genre. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience. From the makers of the Cities in Motion franchise, the game boasts a fully realized transport system. It also includes the ability to mod the game to suit your play style as a fine counter balance to the layered and challenging simulation. You're only limited by your imagination, so take control and reach for the sky!",Colossal Order,Paradox Interactive,FALSE,FALSE,Single Player,bcbc03d8812a44c18f41cf7d5f849265,"Simulator, Strategy",,10/03/2015,17/06/2025 23:53,,17/06/2025 23:58,17/06/2025 23:53,PC (Windows),0,0,Epic,Cities: Skylines,,81,76,,26c6b27c-fe6c-4828-9dfa-31c6183b3c01
City of Brass,,PEGI 12,,"Armed with scimitar and versatile whip, lash, slash, trick and trap
<br>your way through the City of Brass, a first-person rogue-lite of treasure, snares and ghoulish foes.",Uppercut Games,Uppercut Games,FALSE,FALSE,Single Player,Arrowroot,"Adventure, Indie, Shooter",,04/05/2018,17/06/2025 23:53,,17/06/2025 23:54,17/06/2025 23:53,PC (Windows),0,0,Epic,,,40,68,,8f0c2c7c-32bd-4b2e-a1d7-68da541802c5
Close to the Sun,,PEGI 18,,"Close to the Sun is a story-driven horror game that takes place at the turn of the 20th century on a mysterious ship complex created by Nikola Tesla for the sake of knowledge. In this alternative version of history, his scientific breakthroughs have already had a major impact on the world. You’re a young journalist looking for your sister and, as you approach this enormous and glorious complex for the first time, you quickly realize that something there has gone horribly wrong...""",Storm in a Teacup,Wired Productions,FALSE,FALSE,Single Player,Silene,"Adventure, Indie",,02/05/2019,17/06/2025 23:53,,17/06/2025 23:55,17/06/2025 23:53,PC (Windows),0,0,Epic,,,66,61,,1efb933d-74f5-4f3f-8bf1-a53ebfe99deb
Company of Heroes 2,Company of Heroes 02,PEGI 18,,"Powered by the Essence Engine 3.0, the Company of Heroes 2 series feature some unique mechanics rewarding thoughtful players. From the TrueSight™ system that emulates the units’ line of sight to the cover-system that encourages clever unit placement – not to mention the combined arms approach and the hard and soft counters gameplay that will make you think twice before trying to destroy a tank with a simple squad of riflemen – each game presents players with an uninterrupted stream of meaningful tactical choices that can turn the tide of war.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/231430/extras/SPACER.png?t=1749205518"" /><h2 class=""bb_tag""><strong>PICK YOUR FIGHT</strong></h2><strong>NB:</strong> multiplayer standalones allow you to <u>play on any map against anyone</u> owning any COH2 product.<br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/231430/extras/COH2_Game_Description_Banner_COH2_Steam_Page_V2.png?t=1749205518"" /><br><strong>The Company of Heroes 2 base game</strong> gives you access to two multiplayer armies from the Eastern Front: the Red Army (SOV) and the Wehrmacht Ostheer (GER). It also comes with a gritty single-player campaign that will give you a chance to familiarize yourself with the series core tenets. Step into the boots of a Soviet commander of the Red Army, entrenched in brutal frontline warfare to free Mother Russia from the Enemy invaders! Adjust your tactics to take into account the brutal weather conditions and wield the might of the Soviet Empire as you smash your way to Berlin.<br><br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/231430/extras/TWFA_Game_Description_Banner_COH2_Steam_Page_V2.png?t=1749205518"" /><br><strong> Company of Heroes 2: The Western Front Armies</strong> adds two new factions from the Western Front to the roster of playable multiplayer armies: the Oberkommando West (OKW) and the US Forces (USF). While the former puts you in charge of an aggressive and powerful army with very specialized and elite units – yet in very limited numbers – the latter introduces an expeditionary corps that allows for a variety of approaches and very powerful combined arms tactics, but which inevitably falls a bit short in the heavy armor department.<br><br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/231430/extras/AA_Game_Description_Banner_COH2_Steam_Page_V2.png?t=1749205518"" /><br><strong> Company of Heroes 2: Ardennes Assault</strong> offers a compelling single-player campaign for the USF faction revolving around the Battle of the Bulge. Engage in a dynamic non-linear campaign across the Ardennes landscape consisting of 18 scenarios, choose between three iconic companies, customize their abilities and bear the consequences of your actions as overall company health persists between missions.<br><br><br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/231430/extras/UKF_Game_Description_Banner_COH2_Steam_Page_V2.png?t=1749205518"" /><br><strong> Company of Heroes 2: The British Forces</strong> is the latest entry in the series and features this iconic Allied army from WWII (UKF). Experience a unique tech-tree that challenges the player to balance the constant trade-off between mobility and defense. Surprise your opponents with your development choices and an open end game configuration. Enjoy an army with character and distinctive units &amp; abilities, from the Churchill Crocodile flamethrower tank to the RAF glider.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/231430/extras/SPACER.png?t=1749205518"" /><h2 class=""bb_tag""><strong>KEY FEATURES</strong></h2><ul class=""bb_ul""><li>AWARD WINNING FRANCHISE<br>Sequel to the highest rated strategy game of all time returns with an innovative warfare experience that will redefine the Strategy genre once more<br></li><li>ESSENCE ENGINE 3.0<br>Cutting-edge technology that increases the graphical quality and accuracy of deadly combat with the unprecedented TrueSight™ system, the ultrarealistic ColdTech™ dynamic weather that changes strategic warfare forever and improved environmental destruction<br></li><li>TACTICAL WARFARE<br>Develop and utilize your new Commander Abilities and experience the up-close moment-to-moment brutality of frontline warfare through new Dynamic Battle Tactics<br></li><li>INTENSE ONLINE COMBAT<br>Featuring the great competitive and co-operative multiplayer that fans have grown to expect from this high-quality and critically acclaimed franchise</li></ul><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/231430/extras/SPACER.png?t=1749205518"" /><h2 class=""bb_tag""><strong>MULTIPLAYER ARMIES COMPARISON</strong></h2>Find out the multiplayer army (and associated game/standalone) that suits your play style.<br><img class=""bb_img"" src=""https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/231430/extras/UKF_Blog_Infographic_FactionProfile_Revised.png?t=1749205518"" />","Feral Interactive, Relic Entertainment","Feral Interactive, Sega",FALSE,FALSE,"Co-Operative, Multiplayer, Single Player",231430,"Real Time Strategy (RTS), Simulator, Strategy",,25/06/2013,17/06/2025 23:53,,17/06/2025 23:56,17/06/2025 23:53,,0,0,Steam,Company of Heroes,,79,78,,9528dc61-64ff-4354-b610-cb8d342e78b6
Conarium,,PEGI 12,,"Conarium is a chilling Lovecraftian game, which follows a gripping story involving four scientists and their endeavor to challenge what we normally consider to be the ‘absolute’ limits of nature. Inspired by H.P. Lovecraft’s novella ""At the Mountains of Madness"", but largely set after the original story.
<br>
<br>You, as Frank Gilman, open your eyes inside a room filled with strange, pulsating noises. Patterns of lights executing a Danse Macabre on the walls is presented by a queer device on the table. Having recalled nothing other than that you’re in Upuaut, an Antarctic base located near south pole, you find the place deserted and have a distinct feeling of something being terribly wrong. Somehow knowing that your memories cannot guide you enforces a strange feeling of vulnerability, a familiar yet alien sensation of being a part of a peculiar whole... Soon you will discover that having used the device during the expedition, you have died but then returned subtly changed, speaking of strange memories and of strange places. You have lost something important or gained something sinister...
<br>
<br>Explore the antarctic base, as well as dreams and visions. Study clues, unlock secrets but avoid macabre beings at all cost.",Zoetrope Interactive,Iceberg Interactive,FALSE,FALSE,Single Player,Canary,"Adventure, Indie, Puzzle",,06/06/2017,17/06/2025 23:53,,17/06/2025 23:56,17/06/2025 23:53,PC (Windows),0,0,Epic,,,66,72,,bfd0f796-c183-4c58-b6c5-e3c4893220a6
Control,,PEGI 16,,"Control is a supernatural 3rd person action-adventure will challenge you to master the combination of supernatural abilities, modifiable loadouts and reactive environments while fighting through a deep and unpredictable world.",Remedy Entertainment,505 Games,FALSE,FALSE,Single Player,Calluna,"Adventure, Shooter",,27/08/2019,17/06/2025 23:53,,17/06/2025 23:57,17/06/2025 23:53,PC (Windows),0,0,Epic,Control,,84,83,,969bd9f9-9443-4dec-9c11-9c8bfbc8a093
Costume Quest,,PEGI 7,,"Costume Quest is a rollicking Adventure/Role-Playing game that unfolds on Halloween night across seemingly peaceful suburban neighborhoods, a mysterious village carnival, and a monster-infested shopping mall. Created by Double Fine's lead animator, Tasha Harris, the game follows the adventure of a group of young friends who must rid their neighborhood of monsters using only their wits, their bravery, and their home-made costumes. Players go door-to-door collecting candy, points, cards, battle stamps and quest assignments as they prepare themselves for Combat Mode — where they transform into larger-than-life versions of their costumes. Each costume that comes to life provides its own unique set of superpowers that players will need to battle Halloween's worst monsters.",Double Fine Productions,"Humble Bundle, Nordic Games Publishing, The Adventure Company, THQ",FALSE,FALSE,Single Player,Violetear,"Adventure, Role-playing (RPG), Turn-based strategy (TBS)",,19/10/2010,17/06/2025 23:53,,17/06/2025 23:58,17/06/2025 23:53,PC (Windows),0,0,Epic,Costume Quest,,76,80,,c234dd4e-7182-4dd3-a275-a6c5818d42c7
Costume Quest 2,Costume Quest 02,PEGI 7,,"In developer Double Fine’s triumphant return to Auburn Pines, our candy-crazed crusaders Wren and Reynold must once again protect Halloween from untold horrors, and grown-ups! Your favorite trick-or-treaters will come armed with a new batch of costumes they wear to transform into giant super powered fantasy Hallowarriors. Fans of the original can look forward to a sweet upgraded battle system and a story that is unmistakably Double Fine.",Double Fine Productions,"Majesco Entertainment, Midnight City",FALSE,FALSE,Single Player,82a78a4dd6ef4eaa892707791b705073,"Adventure, Role-playing (RPG), Turn-based strategy (TBS)",,07/10/2014,17/06/2025 23:53,,17/06/2025 23:58,17/06/2025 23:53,PC (Windows),0,0,Epic,Costume Quest,,71,65,,e65af294-27c9-42aa-8645-13c627c4e636
Crashlands,,PEGI 7,,"Crashlands is an outlandish story-driven-action-adventure set in a world of hidden magic and high technology. Tame and milk alien beasts, craft resources into menacing weaponry, befriend the locals, and go toe-to-chin with a maniac. All in the name of ON-TIME DELIVERY !
<br>
<br>Play as Flux Dabes, a galactic delivery truck driver whose latest shipment gets interrupted by a megalomaniacal alien named ""Q"" who tears her ship to pieces looking for useful tech. Crashlanded on Woanope, you must fight, tame, craft, quest, bossfight, and adventure your way to domination of all the things so that you and JuiceBox, your trusty sidekick/supervisor/robotic cargo palette, can send a message to the Bureau of Shipping and get those damn packages delivered!",Butterscotch Shenanigans,Butterscotch Shenanigans,FALSE,FALSE,"Co-Operative, Multiplayer, Single Player",afdf59e3dc8f40ec8fd887b5d3fcef23,"Adventure, Indie, Role-playing (RPG), Simulator",,20/01/2016,17/06/2025 23:53,,17/06/2025 23:54,17/06/2025 23:53,PC (Windows),0,0,Epic,,,72,80,,2ad3da79-89ab-4485-b3ae-100474890ee1
Darksiders II Deathinitive Edition,Darksiders 02 Deathinitive Edition,PEGI 16,,"Become Death - The most feared of the legendary Four Horseman.
<br>Epic Universe – Unlike anything the player has seen before, delivered in the unique style of Joe Mad.
<br>
<br>Player Choice & Customization – Customize your experience with varied armor sets, weapons, and skill trees allowing players to create their own Death.
<br>
<br>Explore a vast open world, complete dozens of side quests and customize your Death with a full leveling system, skill trees and endless equipment combinations.
<br>Death is a nimble and agile character capable of incredible acrobatic feats allowing the player to explore the world like never before.",Vigil Games,"Spike Chunsoft, THQ",FALSE,FALSE,Single Player,Hoki,"Adventure, Hack and slash/Beat 'em up, Role-playing (RPG)",,14/08/2012,17/06/2025 23:53,,17/06/2025 23:57,17/06/2025 23:53,PC (Windows),0,0,Epic,Darksiders,,77,86,,3a1bc247-7648-4d9b-9f79-f884ad618bc8
Darksiders Warmastered Edition,,PEGI 18,,"Deceived by the forces of evil into prematurely bringing about the end of the world, War – the first Horseman of the Apocalypse – stands accused of breaking the sacred law by inciting a war between Heaven and Hell. In the slaughter that ensued, the demonic forces defeated the heavenly hosts and laid claim to the Earth.
<br>
<br>Brought before the sacred Charred Council, War is indicted for his crimes and stripped of his powers. Dishonored and facing his own death, War is given the opportunity to return to Earth to search for the truth and punish those responsible.
<br>
<br>Hunted by a vengeful group of Angels, War must take on the forces of Hell, forge uneasy alliances with the very demons he hunts, and journey across the ravaged remains of the Earth on his quest for vengeance and vindication.",Kaiko,"Nordic Games Group, THQ Nordic",FALSE,FALSE,Single Player,Hake,"Adventure, Hack and slash/Beat 'em up, Role-playing (RPG)",,22/11/2016,17/06/2025 23:53,,17/06/2025 23:54,17/06/2025 23:53,PC (Windows),0,0,Epic,Darksiders,,78,81,,421ee793-61fb-47d9-a6ef-8abcee34f4e2
Darwin Project,,,,"Darwin Project takes place in a dystopian post-apocalyptic landscape in the Northern Canadian Rockies. As preparation for an impending Ice Age, a new project, half science experiment half live-entertainment, is launched. It's called &quot;Darwin Project&quot; and it challenges 10 participants to survive the cold and fight to the death in a treacherous arena. <br><br><strong><u>KEY FEATURES</u>:</strong><br><strong>- SPECTATOR EXPERIENCE: </strong><br>Through the Spectator Experience Extension, viewers can impact each Darwin Project match in several groundbreaking ways:<br><ul class=""bb_ul""><li>Cast votes to choose the target of a Power activated by the Show Director<br></li><li>Place bets on which inmate or team they think will emerge victorious<br></li><li>Bid for Powers normally reserved for Show Directors &amp; unleash them in a Private Match</li></ul><br><strong>- SHOW DIRECTOR:</strong><br>The Show Director is the living bridge between the players and spectators. He/She is the host and master who controls the arena with nuclear bombs, zone closures, gravity storms, and the power of their voice. This could be a real tool of self discovery; the start of your new career as a charming but deadly game show host. <br><strong><br>- DYNAMIC, TACTICAL GAMEPLAY WITH SURVIVAL ELEMENTS:</strong><br>Gather resources, craft tools, upgrade your gear, track your enemies, engage in both melee and ranged combat, and be the last inmate left alive.",Scavengers Studio,Scavengers Studio,FALSE,FALSE,Multiplayer,544920,Indie,,14/01/2020,17/06/2025 23:53,,17/06/2025 23:57,17/06/2025 23:53,,0,0,Steam,,,65,,,24cb3dec-e453-46ad-84be-f4b24ad399c9
Dauntless,,PEGI 12,,"Dauntless takes place in a fantasy setting, where a cataclysmic event has torn the world apart, releasing monster-like Behemoths that prey on the surviving humans. As a Slayer of Ramsgate, you are all that stands between your world and the Behemoths that seek to devour it. Hunt huge monsters, alongside other Slayers on any platform, and craft awesome gear in this stylish free-to-play co-op action RPG.",Phoenix Labs,"Epic Games, Phoenix Labs",FALSE,FALSE,"Co-Operative, Multiplayer, Single Player",Jackal,"Adventure, Role-playing (RPG)",,26/09/2019,17/06/2025 23:53,,17/06/2025 23:57,17/06/2025 23:53,PC (Windows),0,0,Epic,,,62,76,,71425964-039d-4fda-b416-b3e480949215
Dead by Daylight,,,,,LOGICHACK,LOGICHACK,FALSE,FALSE,Single Player,Brill,Adventure,,09/03/2021,17/06/2025 23:53,,17/06/2025 23:55,17/06/2025 23:53,PC (Windows),0,0,Epic,,,,,,aa1230f6-b1cb-44e5-bc09-1972cccc6ea2
Dead or Alive 5 Last Round,Dead or Alive 05 Last Round,PEGI 16,,"The final word in fighting entertainment - DEAD OR ALIVE 5 Last Round!<br />
<br />
This is a free version which allows use of most game modes, including online play. However, only a limited number of playable characters are available, and Story Mode is locked. Other characters and Story Mode are available as separate downloadable content purchases.<br />
<br />
* The images are from an in-development build and may differ from the final version.",Team NINJA,Tecmo Koei Games,FALSE,FALSE,"Multiplayer, Single Player",311730,Fighting,,17/02/2015,17/06/2025 23:53,,17/06/2025 23:58,17/06/2025 23:53,,0,0,Steam,Dead or Alive,,85,72,,481aa77e-a20c-4400-ab30-496bb095b667
